1,12,0,None,None,1,66
2,12,1,None,None,14,4796
2,11,1,None,None,10,816
3,12,2,None,None,52,8156
3,11,2,None,None,47,43546
4,12,3,None,None,757,84132
4,11,3,None,None,993,1367004
5,12,4,None,None,1768,133310
5,11,4,None,None,2746,4118910
6,12,5,None,None,2267,188572
6,11,5,None,None,3599,5401356
7,12,6,None,None,2441,201532
7,11,6,None,None,3754,5656342
8,12,7,None,None,2149,164312
8,11,7,None,None,3715,5608803
9,12,8,None,None,2108,150768
9,11,8,None,None,3399,5134420
10,12,9,None,None,1503,110849
10,11,9,None,None,2365,3563134
11,12,10,None,None,1850,135053
11,11,10,None,None,2973,4485921
12,12,11,None,None,877,64628
12,11,11,None,None,1498,2252311
13,12,12,None,None,10,2261
13,11,12,None,None,5,444
14,12,13,None,None,8,675
14,11,13,None,None,7,671
15,12,14,None,None,8,655
15,11,14,None,None,5,615
16,12,15,None,None,12,2392
16,11,15,None,None,12,1378
17,12,16,None,None,12,1152
17,11,16,None,None,7,678
18,12,17,None,None,15,1478
18,11,17,None,None,6,5392
19,12,18,None,None,16,2660
19,11,18,None,None,13,10202
20,12,19,None,None,1,66
20,11,19,None,None,3,2292
21,12,20,None,None,15,1038
21,11,20,None,None,9,1703
22,12,21,None,None,4,1561
22,11,21,None,None,3,244
23,12,22,None,None,4,305
23,11,22,None,None,4,401
24,12,23,None,None,2,168
24,11,23,None,None,1,202
25,12,24,None,None,24,3239
25,11,24,None,None,16,5531
26,12,25,None,None,28,2327
26,11,25,None,None,20,10850
27,12,26,None,None,27,3319
27,11,26,None,None,26,6855
28,12,27,None,None,0,0
28,11,27,None,None,0,0
29,12,29,None,None,0,0
29,11,29,None,None,0,0
30,12,30,None,None,10,1346
30,11,30,None,None,10,5185
31,12,31,None,None,42,5031
31,11,31,None,None,37,32632
32,12,32,None,None,302,26212
32,11,32,None,None,457,658832
33,12,33,None,None,1514,111568
33,11,33,None,None,2325,3442625
34,12,34,None,None,1459,102264
34,11,34,None,None,2579,3889681
35,12,35,None,None,1615,117105
35,11,35,None,None,3353,5058058
36,12,36,None,None,1932,134501
36,11,36,None,None,3886,5874275
37,12,37,None,None,1690,117510
37,11,37,None,None,3237,4894932
38,12,38,None,None,1385,95007
38,11,38,None,None,3013,4552134
39,12,39,None,None,1408,97526
39,11,39,None,None,2819,4265564
40,12,40,None,None,461,32849
40,11,40,None,None,846,1273957
41,12,41,None,None,4,1089
41,11,41,None,None,2,126
42,12,42,None,None,10,818
42,11,42,None,None,8,2796
43,12,43,None,None,1,66
43,11,43,None,None,0,0
44,12,44,None,None,2,138
44,11,44,None,None,1,66
45,12,45,None,None,2,144
45,11,45,None,None,2,148
46,12,46,None,None,7,969
46,11,46,None,None,5,510
47,12,47,None,None,5,300
47,11,47,None,None,3,198
48,12,48,None,None,2,178
48,11,48,None,None,1,112
49,12,49,None,None,5,2354
49,11,49,None,None,11,10895
50,12,50,None,None,530,35045
50,11,50,None,None,967,1454967
51,12,51,None,None,5,385
51,11,51,None,None,3,233
52,12,52,None,None,1,66
52,11,52,None,None,0,0
53,12,53,None,None,1,112
53,11,53,None,None,1,112
54,12,54,None,None,2,144
54,11,54,None,None,0,0
55,12,55,None,None,6,418
55,11,55,None,None,2,148
56,12,56,None,None,6,995
56,11,56,None,None,5,424
57,12,57,None,None,0,0
57,11,57,None,None,0,0
58,12,58,None,None,2,178
58,11,58,None,None,1,112
59,12,59,None,None,471,33476
59,11,59,None,None,1037,1566562
60,12,60,None,None,200,13318
60,11,60,None,None,306,461116
61,12,61,None,None,1,66
61,11,61,None,None,1,66
62,12,62,None,None,0,0
62,11,62,None,None,0,0
63,12,64,None,None,6,506
63,11,64,None,None,4,343
64,12,65,None,None,18,1654
64,11,65,None,None,15,1632
65,12,66,None,None,1,60
65,11,66,None,None,0,0
66,12,67,None,None,11,4245
66,11,67,None,None,10,885
67,12,68,None,None,5,342
67,11,68,None,None,3,3233
68,12,69,None,None,0,0
68,11,69,None,None,0,0
69,12,70,None,None,4,2524
69,11,70,None,None,18,24358
70,12,71,None,None,633,41838
70,11,71,None,None,1237,1870904
71,12,72,None,None,20,3174
71,11,72,None,None,18,6464
72,12,73,None,None,31,6008
72,11,73,None,None,22,8466
73,12,74,None,None,4,3416
73,11,74,None,None,2,173
74,12,75,None,None,31,8006
74,11,75,None,None,21,22014
75,12,76,None,None,78,10409
75,11,76,None,None,31,91869
76,12,77,None,None,43,4878
76,11,77,None,None,24,74592
77,12,78,None,None,39,2648
77,11,78,None,None,19,52948
78,12,79,None,None,4,1619
78,11,79,None,None,5,3053
79,12,80,None,None,61,10408
79,11,80,None,None,55,33884
80,12,81,None,None,539,39182
80,11,81,None,None,785,1163749
81,12,82,None,None,1,66
81,11,82,None,None,1,66
82,12,83,None,None,5,352
82,11,83,None,None,4,477
83,12,84,None,None,6,450
