54,12,54,None,None,660,45853
54,11,54,None,None,5,8101
54,1000,54,23.246.0.0,None,471,3862937
54,1120,54,198.45.52.0,None,0,0
55,12,55,None,None,584,39145
55,11,55,None,None,0,0
55,1000,55,23.246.0.0,None,454,3378942
55,1120,55,198.45.52.0,None,0,0
56,12,56,None,None,805,57991
56,11,56,None,None,0,0
56,1000,56,23.246.0.0,None,578,3432729
56,1120,56,198.45.52.0,None,0,0
57,12,57,None,None,486,32785
57,11,57,None,None,0,0
57,1000,57,23.246.0.0,None,312,2232407
57,1120,57,198.45.52.0,None,0,0
58,12,58,None,None,537,37048
58,11,58,None,None,0,0
58,1000,58,23.246.0.0,None,337,1354463
58,1120,58,198.45.52.0,None,0,0
59,12,59,None,None,301,24509
59,11,59,None,None,4,264
59,1000,59,23.246.0.0,None,206,753524
59,1120,59,198.45.52.0,None,0,0
60,12,60,None,None,258,31770
60,11,60,None,None,18,5481
60,1000,60,23.246.0.0,None,99,377222
60,1120,60,198.45.52.0,None,0,0
61,12,61,None,None,33,8691
61,11,61,None,None,28,21970
61,1000,61,23.246.0.0,None,1,1514
61,1120,61,198.45.52.0,None,0,0
62,12,62,None,None,20,3398
62,11,62,None,None,10,9575
62,1000,62,23.246.0.0,None,1,1514
62,1120,62,198.45.52.0,None,0,0
63,12,63,None,None,3,239
63,11,63,None,None,2,1028
63,1000,63,23.246.0.0,None,0,0
63,1120,63,198.45.52.0,None,0,0
64,12,65,None,None,152,16013
64,11,65,None,None,63,221680
64,1000,65,23.246.0.0,None,1,1514
64,1120,64,198.45.52.0,None,0,0
65,12,66,None,None,1,78
65,11,66,None,None,0,0
65,1000,66,23.246.0.0,None,0,0
65,1120,65,198.45.52.0,None,0,0
66,12,67,None,None,2,156
66,11,67,None,None,2,1574
66,1000,67,23.246.0.0,None,0,0
66,1120,67,198.45.52.0,None,0,0
67,12,68,None,None,18,6546
67,11,68,None,None,13,7257
67,1000,68,23.246.0.0,None,0,0
67,1120,68,198.45.52.0,None,0,0
68,12,69,None,None,148,10951
68,11,69,None,None,85,415241
68,1000,69,23.246.0.0,None,0,0
68,1120,69,198.45.52.0,None,0,0
69,12,70,None,None,889,59474
69,11,70,None,None,543,2750369
69,1000,70,23.246.0.0,None,0,0
69,1120,70,198.45.52.0,None,0,0
70,12,71,None,None,2,284
70,11,71,None,None,0,0
70,1000,71,23.246.0.0,None,0,0
70,1120,71,198.45.52.0,None,0,0
71,12,72,None,None,11,980
71,11,72,None,None,1,224
71,1000,72,23.246.0.0,None,0,0
71,1120,72,198.45.52.0,None,0,0
72,12,73,None,None,8,606
72,11,73,None,None,0,0
72,1000,73,23.246.0.0,None,0,0
72,1120,73,198.45.52.0,None,0,0
73,12,74,None,None,10,908
73,11,74,None,None,0,0
73,1000,74,23.246.0.0,None,0,0
73,1120,74,198.45.52.0,None,0,0
74,12,75,None,None,9,702
74,11,75,None,None,0,0
74,1000,75,23.246.0.0,None,0,0
74,1120,75,198.45.52.0,None,0,0
75,12,76,None,None,8,624
75,11,76,None,None,0,0
75,1000,76,23.246.0.0,None,0,0
75,1120,76,198.45.52.0,None,0,0
76,12,77,None,None,9,684
76,11,77,None,None,1,97
76,1000,77,23.246.0.0,None,0,0
76,1120,77,198.45.52.0,None,0,0
77,12,78,None,None,5,348
77,11,78,None,None,4,326
77,1000,78,23.246.0.0,None,0,0
77,1120,78,198.45.52.0,None,0,0
78,12,79,None,None,11,1458
78,11,79,None,None,2,163
78,1000,79,23.246.0.0,None,0,0
78,1120,79,198.45.52.0,None,0,0
79,12,80,None,None,5,514
79,11,80,None,None,0,0
79,1000,80,23.246.0.0,None,0,0
79,1120,80,198.45.52.0,None,0,0
80,12,81,None,None,2,138
80,11,81,None,None,1,97
80,1000,81,23.246.0.0,None,0,0
80,1120,81,198.45.52.0,None,0,0
81,12,82,None,None,1,78
81,11,82,None,None,0,0
81,1000,82,23.246.0.0,None,0,0
81,1120,82,198.45.52.0,None,0,0
82,12,83,None,None,9,666
82,11,83,None,None,1,66
82,1000,83,23.246.0.0,None,0,0
82,1120,83,198.45.52.0,None,0,0
83,12,84,None,None,7,492
83,11,84,None,None,1,97
83,1000,84,23.246.0.0,None,2,132
83,1120,84,198.45.52.0,None,0,0
84,12,85,None,None,2,156
84,11,85,None,None,3,229
84,1000,85,23.246.0.0,None,0,0
84,1120,85,198.45.52.0,None,0,0
85,12,86,None,None,0,0
85,11,86,None,None,0,0
85,1000,86,23.246.0.0,None,0,0
85,1120,86,198.45.52.0,None,0,0
86,12,87,None,None,2,138
86,11,87,None,None,0,0
86,1000,87,23.246.0.0,None,0,0
86,1120,87,198.45.52.0,None,0,0
87,12,88,None,None,1,66
87,11,88,None,None,0,0
87,1000,88,23.246.0.0,None,2,132
87,1120,88,198.45.52.0,None,0,0
88,12,89,None,None,2,132
88,11,89,None,None,0,0
88,1000,89,23.246.0.0,None,0,0
